A01nficha;A01uf;idade_calculada;E03;E05;id_genero
8183;53;42;1;1;1
8183;53;20;2;4;1
8183;53;14;1;4;99999
8183;53;7;1;1;99999
8183;53;4;2;4;99999
8187;53;63;2;2;1
8187;53;54;1;4;1
8187;53;22;2;1;1
8187;53;20;1;4;1
8187;53;0;1;1;99999
8197;53;44;2;4;1
8197;53;18;2;4;1
8197;53;6;2;4;99999
8197;53;2;1;2;99999
8245;53;80;1;4;1
8245;53;68;2;4;1
8352;53;66;2;4;1
8352;53;46;1;4;1
8352;53;40;2;4;1
8354;53;61;2;1;1
8356;53;60;1;1;1
8356;53;88;2;1;1
8371;53;47;1;4;1
8371;53;47;2;1;1
8371;53;19;2;4;1
8371;53;15;2;1;99999
8374;53;59;1;4;1
8374;53;4;2;4;99999
8374;53;4;2;4;99999
8413;53;68;2;1;1
8413;53;93;2;1;1
8437;53;68;2;4;1
8437;53;70;1;4;1
8437;53;45;1;4;1
8437;53;43;1;4;1
8437;53;41;1;4;1
8437;53;19;1;4;1
8437;53;19;1;1;1
8437;53;14;2;1;99999
8487;53;90;1;1;1
8487;53;92;2;1;1
8509;53;55;1;2;1
8509;53;46;2;4;1
8509;53;26;2;4;1
8509;53;8;1;1;99999
8509;53;19;2;2;1
8509;53;24;1;1;1
8512;53;64;1;1;1
8518;53;44;2;4;1
8518;53;24;1;4;1
8518;53;23;2;1;1
8533;53;44;1;2;1
8533;53;47;2;1;1
8533;53;21;1;2;1
8533;53;17;1;2;99999
8536;53;46;2;1;1
8536;53;23;1;1;1
8538;53;26;2;4;1
8538;53;3;2;1;99999
8538;53;37;1;1;1
8546;53;32;2;4;1
8546;53;43;1;2;1
8546;53;20;1;4;1
